GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Minesweeper,org.example,Block,50,36,5,1,12,14,11,6,8,6
Minesweeper,org.example,Main,116,0,0,0,27,0,4,0,4,0
Minesweeper,org.example,Main.new ActionListener() {...},38,0,3,0,6,0,4,0,2,0
Minesweeper,org.example,Board,412,148,32,8,65,25,25,7,9,3
Minesweeper,org.example,Board.new JPanel() {...},238,0,19,0,30,0,13,0,2,0
Minesweeper,org.example,Mine,16,13,0,0,5,5,4,2,4,2
Minesweeper,org.example,Board.new ActionListener() {...},12,0,0,0,4,0,2,0,2,0
Minesweeper,org.example,Board.new MouseAdapter() {...},255,0,24,0,36,0,14,0,2,0
